SITE_ID,SITE_NAME,COUNTRY,LAT,LON,SITE_CLASSIFICATION,UPLAND_CLASS,IGBP,KOPPEN,ORIGINAL_DATA_SOURCE,FLUXNET-CH4_DATA_POLICY,YEAR_START,YEAR_END,UTC_OFFSET,SOIL_TEMP_PROBE_DEPTHS,MOSS_BROWN,MOSS_SPHAGNUM,AERENCHYMATOUS,ERI_SHRUB,TREE,DOM_VEG
NL-Hor,Horstermeer,Netherlands,52.24035,5.0713,Drained,Grassland,GRA,Cfb,EuroFlux,CCBY4.0,2007,2009,1,TS_1 = -0.01cm; TS_2 = -0.02cm; TS_3 = -0.04cm; TS_4 = -0.05cm; TS_5 = -0.1cm; TS_6 = -0.15cm; TS_7 = -0.25cm; TS_8 = -0.4cm; TS_9 = -0.6cm;,0,0,1,0,0,aerenchymatous
NZ-Kop,Kopuatai,New Zealand,-37.3879,175.5539,Bog,,EBF,Cfb,OzFlux,CCBY4.0,2012,2015,13,TS_1 = -0.5cm; TS_2 = -0.1cm; TS_3 = -0.2cm;,0,1,1,0,0,aerenchymatous
PH-RiF,Philippines Rice Institute flooded,Philippines,14.14119,121.26526,Rice,,CRO,Am,EuroFlux,CCBY4.0,2012,2014,8,,0,0,1,0,0,aerenchymatous
RU-Ch2,Chersky reference,Russia,68.61689,161.35089,Wet tundra,,WET,Dfc,EuroFlux,CCBY4.0,2014,2016,11,TS_1 = -0.04cm; TS_2 = -0.08cm; TS_3 = -0.16cm;,0,0,1,1,0,aerenchymatous
RU-Che,Cherski,Russia,68.61304,161.34143,Drained,,WET,Dfc,EuroFlux,CCBY4.0,2014,2016,11,TS_1 = -0.04cm; TS_2 = -0.08cm; TS_3 = -0.16cm;,0,0,1,1,0,aerenchymatous
RU-Cok,Chokurdakh,Russia,70.82914,147.49428,Wet tundra,,OSH,Dfc,EuroFlux,CCBY4.0,2008,2016,11,,0,1,1,1,0,moss_sphagnum
RU-Fy2,Fyodorovskoye dry spruce,Russia,56.4476,32.9019,Upland,Needleleaf forest,ENF,Dfb,EuroFlux,CCBY4.0,2015,2018,3,,0,1,0,1,1,tree
RU-Vrk,Seida/Vorkuta,Russia,67.0546798706055,62.9404678344727,Wet tundra,,CSH,Dfc,EuroFlux,TIER2,2008,2008,3,,0,1,1,1,0,aerenchymatous
SE-Deg,Degero,Sweden,64.182029,19.556539,Fen,,GRA,Dfc,EuroFlux,CCBY4.0,2014,2018,1,TS_1 = -0.02cm; TS_2 = -0.05cm; TS_3 = -0.1cm; TS_4 = -0.15cm; TS_5 = -0.3cm; TS_6 = -0.5cm;,0,1,1,1,0,moss_sphagnum
SE-St1,Stordalen grassland,Sweden,68.3541488,19.050333,Fen,,WET,Dfc,EuroFlux,TIER2,2012,2014,1,TS_1 = -0.05cm; TS_2 = -0.1cm; TS_3 = -0.25cm; TS_4 = -0.5cm;,1,1,1,1,0,aerenchymatous
UK-LBT,London_BT,United Kingdom,51.5215,-0.1389,Upland,Urban,URB,Cfb,EuroFlux,CCBY4.0,2011,2014,0,,0,0,0,0,0,no vegetation
US-A03,ARM-AMF3-Oliktok,USA,70.495328,-149.882297,Wet tundra,,BSV,ET,AmeriFlux,CCBY4.0,2015,2018,-9,TS_1 = -0.025cm; TS_2 = -0.1cm; TS_3 = -0.3cm;,0,1,1,0,0,moss_sphagnum
US-A10,ARM-NSA-Barrow,USA,71.3242,-156.6149,Wet tundra,,BSV,ET,AmeriFlux,CCBY4.0,2012,2018,-9,TS_1 = -0.025cm; TS_2 = -0.1cm; TS_3 = -0.3cm;,0,1,1,0,0,moss_sphagnum
US-Atq,Atqasuk,USA,70.4696,-157.4089,Wet tundra,,WET,ET,AmeriFlux,CCBY4.0,2013,2016,-9,,1,0,1,1,0,aerenchymatous
US-Beo,Barrow Environmental Observatory (BEO) tower,USA,71.2810,-156.6123,Wet tundra,,WET,ET,AmeriFlux,CCBY4.0,2013,2014,-8,,1,1,1,0,0,aerenchymatous
