file,variable,missing_pct,gapfilled_pct,gapfilling_method,tier
met_insituHT_AT-Neu_2002-2019.nc,Tair,0.0,1.3,observed,mild
met_insituHT_AT-Neu_2002-2019.nc,SWdown,0.0,1.3,observed,mild
met_insituHT_AT-Neu_2002-2019.nc,LWdown,0.0,22.7,ERA-Interim,medium
met_insituHT_AT-Neu_2002-2019.nc,VPD,0.0,2.7,observed,mild
met_insituHT_AT-Neu_2002-2019.nc,PSurf,0.0,28.1,ERA-Interim,heavy
met_insituHT_AT-Neu_2002-2019.nc,Rainf,0.0,0.1,ERA-Interim,mild
met_insituHT_AT-Neu_2002-2019.nc,Wind,0.0,12.2,ERA-Interim,medium
met_insituHT_AT-Neu_2002-2019.nc,Qair,0.0,2.7,observed,mild
met_insituHT_AT-Neu_2002-2019.nc,RH,0.0,2.7,ERA-Interim,mild
met_insituHT_AT-Neu_2002-2019.nc,CO2air,0.0,15.4,observed,medium
met_insituHT_AT-Nsd_2019-2022.nc,Tair,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,SWdown,0.0,0.9,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,LWdown,0.0,1.4,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,VPD,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,PSurf,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,Rainf,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,Wind,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,Qair,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,RH,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-Nsd_2019-2022.nc,CO2air,0.0,7.9,observed,mild
met_insituHT_AT-PsM_2016-2019.nc,Tair,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-PsM_2016-2019.nc,SWdown,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-PsM_2016-2019.nc,LWdown,0.0,18.4,ERA-Interim,medium
met_insituHT_AT-PsM_2016-2019.nc,VPD,0.0,0.1,ERA-Interim,mild
met_insituHT_AT-PsM_2016-2019.nc,PSurf,0.0,0.0,ERA-Interim,mild
met_insituHT_AT-PsM_2016-2019.nc,Rainf,0.0,0.6,ERA-Interim,mild
met_insituHT_AT-PsM_2016-2019.nc,Wind,0.0,20.7,ERA-Interim,medium
met_insituHT_AT-PsM_2016-2019.nc,Qair,0.0,0.1,ERA-Interim,mild
met_insituHT_AT-PsM_2016-2019.nc,RH,0.0,0.1,ERA-Interim,mild
met_insituHT_AT-PsM_2016-2019.nc,CO2air,0.0,14.6,observed,medium
met_insituHT_AT-Zoe_2015-2023.nc,Tair,0.0,9.8,observed,mild
met_insituHT_AT-Zoe_2015-2023.nc,SWdown,0.0,22.7,observed,medium
met_insituHT_AT-Zoe_2015-2023.nc,LWdown,0.0,23.1,ERA-Interim,medium
met_insituHT_AT-Zoe_2015-2023.nc,VPD,0.0,10.5,observed,medium
met_insituHT_AT-Zoe_2015-2023.nc,PSurf,0.0,6.5,ERA-Interim,mild
met_insituHT_AT-Zoe_2015-2023.nc,Rainf,0.0,5.9,ERA-Interim,mild
met_insituHT_AT-Zoe_2015-2023.nc,Wind,0.0,34.4,ERA-Interim,heavy
met_insituHT_AT-Zoe_2015-2023.nc,Qair,0.0,10.5,observed,medium
met_insituHT_AT-Zoe_2015-2023.nc,RH,0.0,9.3,ERA-Interim,mild
met_insituHT_AT-Zoe_2015-2023.nc,CO2air,0.0,36.1,observed,heavy
met_insituHT_AU-APL_2018-2021.nc,Tair,0.0,16.4,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,SWdown,0.0,11.5,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,LWdown,0.0,16.4,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,VPD,0.0,16.4,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,PSurf,0.0,16.4,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,Rainf,0.0,100.0,ERA-Interim,complete
met_insituHT_AU-APL_2018-2021.nc,Wind,0.0,16.4,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,Qair,0.0,16.4,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,RH,0.0,16.4,ERA-Interim,medium
met_insituHT_AU-APL_2018-2021.nc,CO2air,0.0,29.2,observed,heavy
met_insituHT_AU-ASM_2011-2025.nc,Tair,0.0,11.6,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,SWdown,0.0,10.9,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,LWdown,0.0,12.1,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,VPD,0.0,11.6,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,PSurf,0.0,11.9,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,Rainf,0.0,15.8,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,Wind,0.0,18.2,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,Qair,0.0,11.6,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,RH,0.0,11.6,ERA-Interim,medium
met_insituHT_AU-ASM_2011-2025.nc,CO2air,0.0,20.4,observed,medium
met_insituHT_AU-Ade_2008-2008.nc,Tair,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,SWdown,0.0,4.2,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,LWdown,0.0,4.1,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,VPD,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,PSurf,0.0,4.2,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,Rainf,0.0,0.0,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,Wind,0.0,4.4,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,Qair,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,RH,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Ade_2008-2008.nc,CO2air,0.0,10.6,observed,medium
met_insituHT_AU-Boy_2018-2024.nc,Tair,0.0,2.5,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,SWdown,0.0,7.7,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,LWdown,0.0,9.7,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,VPD,0.0,2.5,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,PSurf,0.0,4.5,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,Rainf,0.0,3.4,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,Wind,0.0,2.8,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,Qair,0.0,2.5,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,RH,0.0,2.5,ERA-Interim,mild
met_insituHT_AU-Boy_2018-2024.nc,CO2air,0.0,14.4,observed,medium
met_insituHT_AU-Col_2018-2018.nc,Tair,0.0,0.6,ERA-Interim,mild
met_insituHT_AU-Col_2018-2018.nc,SWdown,0.0,16.8,ERA-Interim,medium
met_insituHT_AU-Col_2018-2018.nc,LWdown,0.0,15.2,ERA-Interim,medium
met_insituHT_AU-Col_2018-2018.nc,VPD,0.0,0.6,ERA-Interim,mild
met_insituHT_AU-Col_2018-2018.nc,PSurf,0.0,0.7,ERA-Interim,mild
met_insituHT_AU-Col_2018-2018.nc,Rainf,0.0,100.0,ERA-Interim,complete
met_insituHT_AU-Col_2018-2018.nc,Wind,0.0,0.7,ERA-Interim,mild
met_insituHT_AU-Col_2018-2018.nc,Qair,0.0,0.6,ERA-Interim,mild
met_insituHT_AU-Col_2018-2018.nc,RH,0.0,0.6,ERA-Interim,mild
met_insituHT_AU-Col_2018-2018.nc,CO2air,0.0,14.7,observed,medium
met_insituHT_AU-Cow_2009-2024.nc,Tair,0.0,6.2,ERA-Interim,mild
met_insituHT_AU-Cow_2009-2024.nc,SWdown,0.0,9.6,ERA-Interim,mild
met_insituHT_AU-Cow_2009-2024.nc,LWdown,0.0,21.7,ERA-Interim,medium
met_insituHT_AU-Cow_2009-2024.nc,VPD,0.0,7.6,ERA-Interim,mild
met_insituHT_AU-Cow_2009-2024.nc,PSurf,0.0,10.5,ERA-Interim,medium
met_insituHT_AU-Cow_2009-2024.nc,Rainf,0.0,33.7,ERA-Interim,heavy
met_insituHT_AU-Cow_2009-2024.nc,Wind,0.0,9.0,ERA-Interim,mild
met_insituHT_AU-Cow_2009-2024.nc,Qair,0.0,7.6,ERA-Interim,mild
met_insituHT_AU-Cow_2009-2024.nc,RH,0.0,11.9,ERA-Interim,medium
met_insituHT_AU-Cow_2009-2024.nc,CO2air,0.0,28.6,observed,heavy
met_insituHT_AU-Cpr_2011-2025.nc,Tair,0.0,2.8,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,SWdown,0.0,5.7,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,LWdown,0.0,1.8,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,VPD,0.0,2.8,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,PSurf,0.0,2.6,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,Rainf,0.0,2.6,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,Wind,0.0,1.8,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,Qair,0.0,2.8,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,RH,0.0,2.7,ERA-Interim,mild
met_insituHT_AU-Cpr_2011-2025.nc,CO2air,0.0,10.2,observed,medium
met_insituHT_AU-Ctr_2010-2017.nc,Tair,0.0,0.8,ERA-Interim,mild
met_insituHT_AU-Ctr_2010-2017.nc,SWdown,0.0,1.0,ERA-Interim,mild
met_insituHT_AU-Ctr_2010-2017.nc,LWdown,0.0,31.2,ERA-Interim,heavy
met_insituHT_AU-Ctr_2010-2017.nc,VPD,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Ctr_2010-2017.nc,PSurf,0.0,12.0,ERA-Interim,medium
met_insituHT_AU-Ctr_2010-2017.nc,Rainf,0.0,2.2,ERA-Interim,mild
met_insituHT_AU-Ctr_2010-2017.nc,Wind,0.0,0.8,ERA-Interim,mild
met_insituHT_AU-Ctr_2010-2017.nc,Qair,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Ctr_2010-2017.nc,RH,0.0,4.1,ERA-Interim,mild
met_insituHT_AU-Ctr_2010-2017.nc,CO2air,0.0,22.4,observed,medium
met_insituHT_AU-Cum_2014-2025.nc,Tair,0.0,1.2,observed,mild
met_insituHT_AU-Cum_2014-2025.nc,SWdown,0.0,5.3,observed,mild
met_insituHT_AU-Cum_2014-2025.nc,LWdown,0.0,6.3,observed,mild
met_insituHT_AU-Cum_2014-2025.nc,VPD,0.0,1.2,observed,mild
met_insituHT_AU-Cum_2014-2025.nc,PSurf,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Cum_2014-2025.nc,Rainf,0.0,0.6,ERA-Interim,mild
met_insituHT_AU-Cum_2014-2025.nc,Wind,0.0,1.2,ERA-Interim,mild
met_insituHT_AU-Cum_2014-2025.nc,Qair,0.0,1.2,observed,mild
met_insituHT_AU-Cum_2014-2025.nc,RH,0.0,1.1,ERA-Interim,mild
met_insituHT_AU-Cum_2014-2025.nc,CO2air,0.0,17.5,observed,medium
met_insituHT_AU-DaP_2008-2012.nc,Tair,0.0,12.0,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,SWdown,0.0,12.3,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,LWdown,0.0,12.0,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,VPD,0.0,12.0,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,PSurf,0.0,17.8,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,Rainf,0.0,31.3,ERA-Interim,heavy
met_insituHT_AU-DaP_2008-2012.nc,Wind,0.0,16.9,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,Qair,0.0,12.0,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,RH,0.0,12.0,ERA-Interim,medium
met_insituHT_AU-DaP_2008-2012.nc,CO2air,0.0,28.0,observed,heavy
met_insituHT_AU-DaS_2008-2025.nc,Tair,0.0,5.5,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,SWdown,0.0,4.9,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,LWdown,0.0,9.6,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,VPD,0.0,5.5,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,PSurf,0.0,9.0,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,Rainf,0.0,15.8,ERA-Interim,medium
met_insituHT_AU-DaS_2008-2025.nc,Wind,0.0,9.0,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,Qair,0.0,5.5,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,RH,0.0,5.5,ERA-Interim,mild
met_insituHT_AU-DaS_2008-2025.nc,CO2air,0.0,18.2,observed,medium
met_insituHT_AU-Dry_2010-2024.nc,Tair,0.0,17.6,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,SWdown,0.0,15.9,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,LWdown,0.0,18.3,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,VPD,0.0,17.6,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,PSurf,0.0,19.1,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,Rainf,0.0,22.5,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,Wind,0.0,17.9,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,Qair,0.0,17.6,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,RH,0.0,17.6,ERA-Interim,medium
met_insituHT_AU-Dry_2010-2024.nc,CO2air,0.0,23.3,observed,medium
met_insituHT_AU-Emr_2012-2013.nc,Tair,0.0,0.4,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,SWdown,0.0,1.0,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,LWdown,0.0,0.2,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,VPD,0.0,0.5,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,PSurf,0.0,1.5,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,Rainf,0.0,0.0,ERA-Interim,mild
